Date;Timestamp;DeviceOrientation;AccelerationX;AccelerationY;AccelerationZ;Label
2022-11-23 20:41:25;1669232486.0572271;faceUp;0.0093994140625;-0.1019134521484375;-0.9808807373046875;falling
2022-11-23 20:41:25;1669232486.06388;faceUp;0.007720947265625;-0.103485107421875;-1.0084075927734375;falling
2022-11-23 20:41:25;1669232486.0668879;faceUp;0.016387939453125;-0.1416473388671875;-1.0076446533203125;falling
2022-11-23 20:41:25;1669232486.070826;faceUp;0.0177154541015625;-0.0951690673828125;-1.0131072998046875;falling
2022-11-23 20:41:25;1669232486.0733461;faceUp;0.009735107421875;-0.1221771240234375;-0.965362548828125;falling
2022-11-23 20:41:25;1669232486.1227221;faceUp;0.0140380859375;-0.11480712890625;-0.9902496337890625;falling
2022-11-23 20:41:25;1669232486.171371;faceUp;0.02392578125;-0.1166839599609375;-0.9969635009765625;falling
2022-11-23 20:41:25;1669232486.230109;faceUp;0.0155792236328125;-0.12353515625;-0.986114501953125;falling
2022-11-23 20:41:25;1669232486.281235;faceUp;0.0187225341796875;-0.1129608154296875;-0.997955322265625;falling
2022-11-23 20:41:25;1669232486.3282928;faceUp;0.0143585205078125;-0.1114959716796875;-0.9673614501953125;falling
2022-11-23 20:41:25;1669232486.37835;faceUp;0.0132904052734375;-0.10693359375;-0.968963623046875;falling
2022-11-23 20:41:25;1669232486.435893;faceUp;0.0300750732421875;-0.11590576171875;-0.9722137451171875;falling
2022-11-23 20:41:25;1669232486.481499;faceUp;0.050872802734375;-0.0919342041015625;-0.75653076171875;falling
2022-11-23 20:41:25;1669232486.528362;faceUp;0.033050537109375;0.0069122314453125;0.0317230224609375;falling
2022-11-23 20:41:25;1669232486.5707111;faceUp;0.0327911376953125;0.0049591064453125;0.0004425048828125;falling
2022-11-23 20:41:25;1669232486.627466;faceUp;0.032012939453125;0.0046844482421875;-0.00177001953125;falling
2022-11-23 20:41:25;1669232486.6784348;faceUp;0.03076171875;0.0038909912109375;-0.0053863525390625;falling
2022-11-23 20:41:25;1669232486.7311091;faceUp;0.027435302734375;0.0028228759765625;-0.0092010498046875;falling
2022-11-23 20:41:25;1669232486.784817;faceUp;0.0223846435546875;0.00177001953125;-0.00762939453125;falling
2022-11-23 20:41:25;1669232486.828827;faceUp;0.01641845703125;0.00018310546875;-0.0050201416015625;falling
2022-11-23 20:41:25;1669232486.882317;faceUp;7.8297576904296875;1.9532012939453125;-0.8052215576171875;falling
2022-11-23 20:41:25;1669232486.921008;faceUp;0.33984375;0.481658935546875;0.0308074951171875;falling
2022-11-23 20:41:25;1669232486.977767;faceUp;0.4532928466796875;0.4368133544921875;0.022125244140625;falling
2022-11-23 20:41:25;1669232487.028109;faceUp;0.6334686279296875;0.3052825927734375;0.0288543701171875;falling
2022-11-23 20:41:25;1669232487.080956;faceUp;0.73846435546875;0.0323944091796875;0.0320892333984375;falling
2022-11-23 20:41:25;1669232487.127946;faceUp;1.148406982421875;-0.91021728515625;0.2794036865234375;falling
2022-11-23 20:41:25;1669232487.170613;faceUp;0.9988861083984375;-0.578277587890625;0.1055450439453125;falling
2022-11-23 20:41:25;1669232487.2207541;faceUp;0.8604583740234375;-0.2774200439453125;0.0134124755859375;falling
2022-11-23 20:41:25;1669232487.270732;faceUp;1.1338348388671875;-0.328216552734375;-0.2374725341796875;falling
2022-11-23 20:41:25;1669232487.328546;faceUp;0.2177276611328125;0.3566436767578125;0.0857086181640625;falling
2022-11-23 20:41:25;1669232487.3806639;faceUp;1.194976806640625;0.432159423828125;-0.9447479248046875;falling
2022-11-23 20:41:25;1669232487.429152;faceUp;1.00665283203125;0.7354583740234375;5.7679443359375;falling
2022-11-23 20:41:25;1669232487.47082;faceUp;-0.0235137939453125;0.12066650390625;0.0430145263671875;falling
2022-11-23 20:41:25;1669232487.528362;faceUp;0.1074371337890625;0.0622711181640625;-0.7937469482421875;falling
2022-11-23 20:41:25;1669232487.5774279;faceUp;0.097137451171875;-0.1038818359375;1.49169921875;falling
2022-11-23 20:41:25;1669232487.625243;faceUp;-0.0222930908203125;0.0079193115234375;1.0110015869140625;falling
2022-11-23 20:41:25;1669232487.671293;faceUp;-0.0217437744140625;0.0103912353515625;1.0114593505859375;falling
2022-11-23 20:41:25;1669232487.722213;faceUp;-0.0215911865234375;0.0092010498046875;1.0117034912109375;falling
2022-11-23 20:41:25;1669232487.775229;faceDown;-0.0212860107421875;0.0099029541015625;1.010650634765625;falling
2022-11-23 20:41:25;1669232487.827322;faceDown;-0.020111083984375;0.0108489990234375;1.0122528076171875;falling
2022-11-23 20:41:25;1669232487.884985;faceDown;-0.0328369140625;0.017333984375;1.0259857177734375;falling
2022-11-23 20:41:25;1669232487.9287019;faceDown;-0.0874176025390625;-0.0149688720703125;1.6053924560546875;falling
2022-11-23 20:41:25;1669232487.9781718;faceDown;0.9850616455078125;0.059356689453125;1.10015869140625;falling
2022-11-23 20:41:25;1669232488.027751;faceDown;-0.7543792724609375;-0.1907958984375;1.128997802734375;falling
2022-11-23 20:41:25;1669232488.078601;faceDown;-0.451995849609375;-0.010498046875;1.00439453125;falling
2022-11-23 20:41:25;1669232488.128473;faceDown;-1.1700286865234375;0.813934326171875;0.4202117919921875;falling
2022-11-23 20:41:25;1669232488.181048;faceDown;-1.2899169921875;1.3123931884765625;0.5987396240234375;falling
2022-11-23 20:41:25;1669232488.221607;faceDown;-0.7317657470703125;0.44146728515625;0.3147430419921875;falling
2022-11-23 20:41:25;1669232488.279079;faceDown;-0.9275360107421875;0.652099609375;-0.3553466796875;falling
